Area,Yield,Temperature,Precipitaion,Humidity,Soil_type:_chalky,Soil_type:_clay,Soil_type:_loamy,Soil_type:_peaty,Soil_type:_sandy,Soil_type:_silt,Soil_type:_silty
6700,5600,23.956,16.34,26,0,1,0,0,0,0,0
9600,10300,23.9487,16.2508,34,0,1,0,0,0,0,0
11500,12500,24.0121,47.3158,35,0,0,1,0,0,0,0
11600,12700,24.1121,35.1796,45,0,1,0,0,0,0,0
11800,14700,24.312,23.209,55,0,0,1,0,0,0,0
11900,13600,24.0231,9.9302,65,0,1,0,0,0,0,0
11400,13900,24.021,27.8136,40,0,1,0,0,0,0,0
20700,17500,23.2536,11.8746,58,0,0,0,0,0,0,1
35500,60500,23.3912,29.0894,84,0,1,0,0,0,0,0
35500,67000,23.0148,9.8568,70,0,1,0,0,0,0,0
21600,32300,23.8924,36.684,35,0,0,0,0,0,0,1
23700,42300,24.1324,22.2358,33,0,0,0,0,0,0,1
28900,52400,24.0082,4.3706,29,0,0,0,0,0,0,1
30500,47800,23.564,23.9846,85,0,1,0,0,0,0,0
26500,18300,23.645,4.319,87,0,1,0,0,0,0,0
26100,27000,23.847,8.0586,20,0,1,0,0,0,0,0
58200,82500,24.121,30.8122,36,0,0,0,0,0,0,1
593,1185,24.351,14.11,43,0,1,0,0,0,0,0
47400,70000,23.598,12.681,54,0,1,0,0,0,0,0
46000,93900,23.958,31.1298,33,0,1,0,0,0,0,0
53800,92700,23.456,50.2822,52,0,1,0,0,0,0,0
41100,67900,24.123,23.8542,80,0,0,0,0,0,0,1
36100,53600,24.234,27.3182,79,0,1,0,0,0,0,0
59000,73900,23.571,3.9404,40,0,1,0,0,0,0,0
73500,95500,23.914,10.2422,79,0,0,0,0,0,0,1
28100,10200,23.774,51.9268,54,0,0,0,0,1,0,0
32700,20800,23.8826,20.6762,34,0,0,0,0,1,0,0
34200,24200,23.5864,26.6764,36,0,0,1,0,0,0,0
22900,15200,24.1724,14.6656,23,0,0,1,0,0,0,0
24500,19300,24.5316,7.3514,50,0,0,1,0,0,0,0
20400,12000,24.4052,22.2012,47,0,0,0,0,1,0,0
31500,19600,24.324,7.2722,30,0,0,0,0,0,0,1
21300,12000,24.5124,8.3802,48,0,0,1,0,0,0,0
29500,22100,23.98745,27.2892,24,0,0,0,0,0,0,1
34100,24900,23.969,41.015,51,0,0,1,0,0,0,0
30000,27500,24.0124,25.6692,36,0,0,0,0,0,0,1
25700,16700,24.8575,19.1342,35,0,0,0,0,1,0,0
34300,36800,24.5462,38.6634,51,0,0,1,0,0,0,0
